Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Mie Kuah Susu,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Mie Tarempa,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Lainnya
Mie Aceh Kuah,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Mie Tulang Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Nasi Goreng Shirataki,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Nasi Rames,Beras dan olahannya,Lainnya,Ya,Lainnya
Laksa Bogor,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Nasi Tim Bayi,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Nasi Telur Korea,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Lainnya
Mie Ayam Solo,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Loco Moco,Beras dan olahannya,Lainnya,Tidak,Lainnya
Beef Pho Vietnam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Mie Tiaw Goreng Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Bubur Ayam Cianjur,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Nasi Bakar Ikan Tongkol,Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar
Sate Kribo,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar
Ramen,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Mie Korea Ramyeon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Mie Shirataki Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Nasi Goreng Tek Tek (Abang Kaki Lima),Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Spaghetti Seafood Marinara,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Lainnya
Indomie Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Bubur Ayam Cirebon,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Nasi Bakar Bandung Sunda,Beras dan olahannya,Lainnya,Tidak,Panggang atau bakar
Mie Setan,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Nasi Campur Bali,Beras dan olahannya,Lainnya,Ya,Lainnya
Mie Pangsit,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Martabak Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Nasi Lengko,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya
Nasi Ulam,Beras dan olahannya,Lainnya,Ya,Lainnya
Nasi Godog Khas Magelang,Beras dan olahannya,Lainnya,Ya,Lainnya
Nasi Goreng Magelangan,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Laksa Mie,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Rebus atau kukus
Mie Lidi Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Papeda Cilung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Nasi Tempong,Beras dan olahannya,Lainnya,Ya,Lainnya
Bakwan Mie,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Baked Rice (Nasi Panggang),Beras dan olahannya,Lainnya,Tidak,Panggang atau bakar
Mie Ongklok,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Mie Gomak Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Cireng Nasi,Beras dan olahannya,Tidak ada,Tidak,Goreng atau tumis
Nasi Goreng Merah,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Mie Ayam Jamur,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya
Kwetiau Siram,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya
Nasi Kebuli Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Mie Titi,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya
Nasi Goreng Telur,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Pangsit Goreng,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Mie Goreng Seafood,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis
Nasi Goreng Rendang,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis
Bakmoy,Beras dan olahannya,Lainnya,Ya,Rebus atau kukus
Mie Celor,Beras dan olahannya,Ikan dan Seafood,Tidak,Rebus atau kukus
Nasi Bakar Ati Ampela,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar
Ifumie,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Lainnya
Lontong Balap,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Lainnya
Misoa Kuah,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Rebus atau kukus
Soun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Nasi Megono,Beras dan olahannya,Lainnya,Ya,Lainnya
Ayam Hainan,Tidak ada,Ayam dan daging,Tidak,Lainnya
Bibimbap,Beras dan olahannya,Lainnya,Ya,Lainnya
Nasi Bakar Cumi (Sambalado Cumi),Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar
Bread Pudding (Puding Roti Tawar),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Pastel Tutup Klasik,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar
Nasi Goreng Gila,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Kari Bihun Medan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Nasi Goreng Sapi,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Bakar Teri (Sambel Teri Cabai Hijau),Beras dan olahannya,Ikan dan Seafood,Tidak,Panggang atau bakar
Nasi Goreng Seafood,Beras dan olahannya,Ikan dan Seafood,Tidak,Goreng atau tumis
Nasi Goreng Kambing,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Goreng Kampung,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Nasi Goreng Oriental,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Nasi Goreng Aceh,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Spaghetti Carbonara,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Soun Goreng,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis
Bihun Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Bubur Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Mie Yamin Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Nasi Tutug Oncom,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Lainnya
Bihun Goreng Isi Special,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis
Nasi Goreng Kikil Cabe Hijau,Beras dan olahannya,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Goreng Terasi (Belacan),Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Spaghetti Bolognese Meatballs (Bola-bola Daging),"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Nasi Goreng Teri,Beras dan olahannya,Ikan dan Seafood,Tidak,Goreng atau tumis
Mie Goreng Jawa,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Kentang Goreng (French Fries & Potato Wedges),Lainnya,Tidak ada,Tidak,Goreng atau tumis
Fettucini Carbonara,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Rice Ball Minion,Beras dan olahannya,Lainnya,Tidak,Lainnya
Nasi Krawu,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Mie Kocok Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Macaroni Schotel,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar
Kwetiau Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Nasi Bakar Ayam Suwir,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar
Nasi Liwet Sunda Teri,Beras dan olahannya,Ikan dan Seafood,Tidak,Lainnya
Mie Godog Jawa (Mie Rebus Jawa),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Nasi Uduk Betawi Komplit,Beras dan olahannya,Lainnya,Tidak,Lainnya
Nasi Timbel Komplit,Beras dan olahannya,Lainnya,Tidak,Lainnya
Nasi Goreng Pete,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Nasi Goreng Kuning Kunyit,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Japchae,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Goreng atau tumis
Nasi Kebuli Kambing,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Nasi Tim Ayam,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Mie Sayur Hijau Bayam,"Tepung, Mie, dan Pasta",Lainnya,Ya,Lainnya
Mie Goreng Aceh,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Spaghetti Aglio Olio,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Nasi Goreng Padang,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Nasi Goreng Jawa,Beras dan olahannya,Lainnya,Tidak,Goreng atau tumis
Makaroni Keju Kukus,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Lasagna Panggang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar
Makaroni Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Nasi Kuning Komplit,Beras dan olahannya,Lainnya,Ya,Lainnya
Tinutuan,Beras dan olahannya,Tidak ada,Ya,Rebus atau kukus
Donat Mie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Nasi Lemak Lengkap,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Bakso Mercon,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Sup Merah,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Sup Matahari,Tidak ada,Lainnya,Ya,Rebus atau kukus
Soto Sokaraja,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Bakso Aci Tulang Rangu,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Sup Ikan Gabus,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Sundubu Jjigae,Tidak ada,Lainnya,Ya,Rebus atau kukus
Soto Pacitan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Sop Ayam Suwir,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Soto Kuah,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Soto Daging Sapi Madura,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Miso Soup,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Tom Yam Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Soto Sulung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Bakso Sapi (Pentol Daging Asli),"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Bakso Bakar Sapi,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar
Bakso Bakar Pedas Manis,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar
Bakso Solo,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Soto Babat,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Cream Soup Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Sup Makaroni,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Soto Tangkar,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Bakso Malang,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Shabu Shabu,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Soto Ambengan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Bakso Lo Hoa,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sop Ikan Nila Batam,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Sup Jagung Kepiting,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Bakso Urat,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Soto Ayam Bening,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Soto Ceker,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Tauto Pekalongan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sayur Sop Ayam,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Soto Kuning Bogor,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Soto Betawi,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Sop Konro,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Coto Makassar,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Tekwan,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Rebus atau kukus
Soto Banjar,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sop Buntut,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Sup Kacang Merah Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Sop Iga Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Soto Ayam Santan Medan,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Sup Ikan Gurame,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Sop Bakso,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Soto Padang,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Soto Kudus,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sup Ikan Kakap,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Soto Mie Bogor,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Sop Manten,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Bubur (Jenang) Jagung,Lainnya,Lainnya,Tidak,Lainnya
Sop Ayam Kampung,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Bakso Goreng (Basreng),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Sop Sayur,Tidak ada,Lainnya,Ya,Rebus atau kukus
Tom Yam Seafood Udang Ikan,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Seblak Basah Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Soto Ayam Kuning Lamongan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sop Kimlo,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Rebus atau kukus
Sup Asparagus Krim Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Bakso Cuanki Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Bakso Aci,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Bubur Kacang Hijau Madura,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Sop Ubi,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Sop Kambing,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Sup Udang,Tidak ada,Ikan dan Seafood,Ya,Rebus atau kukus
Sroto Banyumas,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Soto Bandung,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sup Jamur Kancing,Tidak ada,Lainnya,Ya,Rebus atau kukus
Sup Tahu,Tidak ada,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Sup Jagung,Tidak ada,Lainnya,Ya,Rebus atau kukus
Zuppa Soup,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Pilus Cikur,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Crepes Teflon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Oreo Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Gingerbread (Kue Jahe),Tidak ada,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Baruasa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Janda Genit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Martabak Manis Mini,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Chocolatos,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Burger Bun,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Brownies Chocolatos,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Pancake Teflon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Bolu Susu Lembang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Lontar Papua,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Croffle,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Moho,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Jongkong,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Hotteok,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Lapet,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus
Peanut Butter Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Sandwich Buah,Tidak ada,Lainnya,Tidak,Lainnya
Bolu Susu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Egg Benedict,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Bolu Meranti Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Lapis Pepe Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Lapis India Khas Banjar,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Nastar Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Beng Beng,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Long Potato,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Kacang Sembunyi,Tidak ada,"Tahu, tempe, dan telur",Tidak,Lainnya
Pizza Mozzarella Jamur,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar
Roti Ubi Korea,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Marshmallow Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Baguette,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Banoffee Pie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Dange,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Popcorn Caramel,Lainnya,Tidak ada,Tidak,Lainnya
Cornflake Cookies,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Panggang atau bakar
Donat Crispy,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Takoyaki,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Pizza Dough,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Kue Lapis Legit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Meringue Cookies,Tidak ada,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Selai Srikaya,Tidak ada,Tidak ada,Tidak,Lainnya
Setup Roti Tawar,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Lainnya
Pizza Tuna,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Panggang atau bakar
Pizza Goreng Lipat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Sandwich Homemade,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis
Korean Garlic Bread,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Panggang atau bakar
Bolu Mentega,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Pizza Mini,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Pizza Seafood,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Ya,Panggang atau bakar
Pizza Daging Sapi,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar
Bomboloni,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Pizza Sosis Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Panggang atau bakar
Kue Ogura Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Apem Selong,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Selai Stroberi,Tidak ada,Tidak ada,Tidak,Lainnya
Dessert Box Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Roti John,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Pia Pia,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Donat Singkong,Lainnya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Cream Cheese,Tidak ada,Lainnya,Tidak,Lainnya
Kue Cincin,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Lekker Holland,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bagel,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Odading / Bolang Baling / Kue Bantal,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Stik Keju Mozarella,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Apem Kukus Gula Merah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Kue Balok,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Bagea Sagu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Putri Mandi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Bolu Kukus Ubi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Dessert Oreo Box,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Keju Mozarella,Tidak ada,Lainnya,Tidak,Lainnya
Roti Maryam,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Rainbow Cake Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Crepes Pisang Coklat Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Puff Pastry,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Pretzel,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Apple Strudel,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Killer Soft Bread,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Donat Ubi Ungu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Tokyo Banana,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Butter Cookies,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Pop Cake,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Swiss Roll,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Kismis,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Donat Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Cake Kurma,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Fruit Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bingka Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Bingka Barandam,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Onigiri,Beras dan olahannya,Ikan dan Seafood,Tidak,Lainnya
Roti Unyil,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kemplang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Panggang atau bakar
Kue Akar Kelapa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kue Keciput,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Ketan Serundeng,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Kue Talam Pisang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Lemon Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Cheese Tart,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Red Velvet,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Talam Labu Kuning,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Nugget Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
